2012.11.11,00:00,7151.10,7169.10,7141.70,7150.10,241
2012.11.12,00:00,7149.50,7201.00,7137.30,7169.70,14651
2012.11.13,00:00,7170.30,7185.30,7074.30,7128.90,18473
2012.11.14,00:00,7128.30,7182.80,7029.80,7045.20,18155
2012.11.15,00:00,7045.80,7078.30,7010.30,7032.30,18073
2012.11.16,00:00,7031.70,7032.30,7017.90,7027.50,18927
2012.11.18,00:00,7005.70,7022.40,7002.70,7021.20,206
2012.11.19,00:00,7021.80,7132.90,7004.90,7105.80,14961
2012.11.20,00:00,7106.40,7186.80,7091.30,7162.40,16327
2012.11.21,00:00,7161.80,7214.80,7123.50,7211.40,15408
2012.11.22,00:00,7210.80,7254.20,7201.40,7251.80,8712
2012.11.23,00:00,7251.20,7256.60,7247.60,7251.80,11154
2012.11.25,00:00,7309.80,7309.80,7284.30,7294.10,230
2012.11.26,00:00,7293.50,7319.80,7273.00,7319.80,13254
2012.11.27,00:00,7319.20,7360.50,7306.00,7315.30,15249
2012.11.28,00:00,7315.90,7385.30,7263.80,7359.20,15982
2012.11.29,00:00,7359.80,7415.80,7359.80,7377.30,15385
2012.11.30,00:00,7376.70,7443.00,7371.30,7423.90,14423
2012.12.03,00:00,7413.80,7487.30,7402.30,7406.50,14727
2012.12.04,00:00,7405.30,7465.30,7397.10,7430.50,14539
2012.12.05,00:00,7429.30,7495.30,7426.90,7477.30,15264
2012.12.06,00:00,7477.90,7555.50,7455.70,7550.50,15515
2012.12.07,00:00,7549.90,7559.10,7549.30,7553.70,14947
2012.12.09,00:00,7520.70,7528.10,7517.30,7520.30,155
2012.12.10,00:00,7520.90,7550.60,7457.30,7535.60,12934
2012.12.11,00:00,7535.00,7616.80,7519.30,7609.20,13066
2012.12.12,00:00,7608.60,7642.50,7585.50,7600.00,12648
2012.12.13,00:00,7600.60,7619.50,7559.40,7585.80,13251
2012.12.14,00:00,7586.40,7594.60,7563.20,7593.40,11965
2012.12.16,00:00,7625.10,7639.50,7625.00,7629.80,235
2012.12.17,00:00,7629.20,7632.20,7564.30,7619.10,12291
2012.12.18,00:00,7622.70,7672.20,7613.70,7657.30,17834
2012.12.19,00:00,7659.10,7682.50,7655.50,7666.50,18814
2012.12.20,00:00,7642.80,7694.00,7630.80,7687.20,16598
2012.12.21,00:00,7689.00,7692.60,7596.30,7643.80,27725
2012.12.27,00:00,7620.50,7675.50,7620.30,7650.60,14144
2012.12.28,00:00,7650.00,7665.00,7581.10,7589.80,15497
2013.01.02,00:00,7732.80,7793.00,7731.50,7768.30,17570
2013.01.03,00:00,7775.20,7777.50,7737.50,7752.80,17256
2013.01.04,00:00,7747.00,7747.60,7739.80,7741.60,16269
2013.01.06,00:00,7771.50,7774.50,7765.50,7769.10,178
